Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
500,10000,16,90,0.00214749,0.000122199,0.000633287,0,82
500,50000,16,90,0.0021318,0.000120546,0.000636343,0,82
500,100000,16,90,0.00216883,0.000126838,0.000712315,0,82
500,400000,16,90,0.00226311,0.000124293,0.000941494,0,82
4000,10000,1,90,0.00204582,0.000120556,0.000633157,0,82
4000,10000,2,90,0.00207767,0.000121768,0.000650009,0,82
4000,50000,2,90,0.00224608,0.000121658,0.000652773,0,82
4000,100000,2,90,0.00215844,0.000124112,0.000836338,0,82
4000,400000,2,90,0.0021677,0.000121689,0.000910226,0,82
4000,10000,4,90,0.00203459,0.000121808,0.000637505,0,82
4000,50000,4,90,0.00216501,0.000125836,0.000636092,0,82
4000,100000,4,90,0.00213531,0.000121198,0.000668021,0,82
4000,400000,4,90,0.0021798,0.000121237,0.000643797,0,82
4000,10000,8,90,0.00211942,0.000120706,0.000652783,0,82
4000,50000,8,90,0.00220389,0.00012277,0.000697437,0,82
4000,100000,8,90,0.0021501,0.000168956,0.00091759,0,82
4000,400000,8,90,0.00210821,0.000124333,0.000941785,0,82
4000,10000,16,90,0.00210265,0.000123011,0.000657111,0,82
4000,50000,16,90,0.00226938,0.000123381,0.000638327,0,82
4000,100000,16,90,0.00211743,0.000123652,0.000632826,0,82
4000,400000,16,90,0.00215602,0.000124754,0.00063462,0,82
10000,10000,1,90,0.00209075,0.000122579,0.000633627,0,82
10000,10000,2,90,0.00213328,0.000124854,0.000864951,0,82
10000,50000,2,90,0.00223691,0.000118702,0.000637004,0,82
10000,100000,2,90,0.00214572,0.000122619,0.000637464,0,82
10000,400000,2,90,0.00220234,0.000123351,0.00063523,0,82
10000,10000,4,90,0.00224655,0.000121237,0.000651882,0,82
10000,50000,4,90,0.00204887,0.000120906,0.000631043,0,82
10000,100000,4,90,0.00215454,0.000121808,0.000643586,0,82
10000,400000,4,90,0.00210946,0.000129232,0.000642614,0,82
10000,10000,8,90,0.00222495,0.000120997,0.000638968,0,82
10000,50000,8,90,0.00219959,0.00012269,0.000654927,0,82
10000,100000,8,90,0.0020747,0.000121638,0.000638386,0,82
10000,400000,8,90,0.00212234,0.000125736,0.000688009,0,82
10000,10000,16,90,0.00214011,0.000119223,0.000636903,0,82
10000,50000,16,90,0.0023508,0.000119834,0.000658775,0,82
10000,100000,16,90,0.00213985,0.000145453,0.00076306,0,82
10000,400000,16,90,0.00207768,0.000119373,0.000638236,0,82
